"from","to"
"0 mX fX m// f//","7 fX mX fe// fy// me// fy//"
"1 (eB yB eZ yZ)","10 (eB eZ)(yB yZ)"
"1 (eB yB eZ yZ)","12 X //"
"1 (eB yB eZ yZ)","4 (eB yB) (eZ yZ)"
"10 (eB eZ)(yB yZ)","6 eB eZ (yB yZ)"
"10 (eB eZ)(yB yZ)","9 (eB eZ) yB yZ"
"11 // mX fX","0 mX fX m// f//"
"11 // mX fX","8 e// y//  mX fX"
"12 X //","0 mX fX m// f//"
"12 X //","11 // mX fX"
"12 X //","13 X e// y//"
"12 X //","14 X  m// f//"
"13 X e// y//","8 e// y//  mX fX"
"14 X  m// f//","0 mX fX m// f//"
"3 eB yB (eZ yZ)","2 eB eZ yB yZ"
"4 (eB yB) (eZ yZ)","2 eB eZ yB yZ"
"4 (eB yB) (eZ yZ)","3 eB yB (eZ yZ)"
"4 (eB yB) (eZ yZ)","5 (eB yB) eZ yZ"
"5 (eB yB) eZ yZ","2 eB eZ yB yZ"
"6 eB eZ (yB yZ)","2 eB eZ yB yZ"
"8 e// y//  mX fX","7 fX mX fe// fy// me// fy//"
"9 (eB eZ) yB yZ","2 eB eZ yB yZ"
"7 fX mX fe// fy// me// fy//",NA
"2 eB eZ yB yZ",NA
